ID,alcohol,amphet,benzos,cannabis,coke,crack,ecstasy,heroin,ketamine,legalhigh,LSD,meth,mushrooms,nicotine
209,2,1,0,2,2,0,1,0,1,1,1,0,1,2
1304,2,2,2,1,2,0,2,0,1,2,1,1,1,1
1626,2,0,0,0,0,0,0,0,0,0,0,0,0,2
59,2,1,0,2,2,1,1,1,1,1,1,0,1,2
1502,2,0,0,2,0,0,0,0,0,2,0,1,1,1
1666,2,0,0,0,0,0,0,0,0,0,0,0,0,0
367,2,0,1,1,0,0,0,0,0,0,0,0,0,1
1174,2,0,1,2,0,0,1,0,0,1,1,0,0,1
597,2,1,0,2,1,0,2,0,0,0,0,0,0,2
1059,2,2,2,2,0,0,0,0,0,2,0,0,1,0
1518,2,1,1,1,1,0,1,0,0,0,1,1,1,2
1485,1,1,1,1,1,0,0,1,0,1,1,0,1,1
747,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1374,2,1,1,2,2,2,2,1,1,1,1,1,1,2
1777,2,0,2,2,2,0,1,0,0,1,1,2,1,1
119,2,0,2,1,0,0,0,0,0,0,1,1,0,2
1180,2,2,2,2,2,0,1,1,1,2,1,2,0,1
679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,1,1,1,1,1,1,1,1,0,0,1,1,0,1
517,2,1,2,2,0,0,1,0,0,2,0,2,1,2
82,2,1,1,1,1,0,0,1,0,0,1,1,1,1
1090,2,0,0,1,0,0,0,0,0,0,0,0,0,1
900,2,0,0,2,0,0,0,0,0,1,0,0,0,2
384,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1599,2,0,0,0,0,0,0,0,0,0,0,0,0,1
85,2,0,0,1,0,0,0,0,0,0,0,0,0,0
1589,2,0,0,0,0,0,0,0,0,0,0,0,0,1
333,0,0,0,0,0,0,0,0,0,0,0,0,0,2
986,2,1,0,2,1,0,2,0,0,1,0,0,2,2
1400,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1047,2,0,2,1,2,0,1,1,1,2,1,2,0,0
976,2,0,0,2,0,0,1,0,0,1,1,0,0,2
1866,2,1,2,2,1,1,1,1,1,0,1,2,1,2
455,2,2,2,2,1,1,1,2,1,2,2,2,1,2
494,2,1,0,2,1,0,2,0,1,1,0,0,1,2
1399,1,1,1,1,1,1,1,0,0,1,1,0,1,1
288,1,0,1,1,0,0,0,0,0,0,0,0,0,0
809,2,0,2,1,1,0,0,0,0,0,0,2,0,2
1874,2,1,0,2,0,0,1,0,0,0,1,0,1,2
1317,2,1,0,2,1,0,1,0,0,1,1,0,1,2
1366,2,2,1,2,0,0,0,0,0,0,1,0,1,1
882,2,2,2,2,2,0,2,2,2,2,2,2,2,2
1684,2,1,0,1,1,0,1,0,1,1,1,0,1,2
781,2,1,0,1,1,0,1,1,0,1,1,1,1,1
817,2,1,2,2,1,2,1,1,1,1,1,1,1,2
1020,0,2,1,2,1,0,2,0,2,2,2,0,1,0
1564,2,1,1,1,1,0,1,0,1,0,1,0,1,1
331,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1456,2,2,1,2,2,0,2,0,2,2,2,1,2,2
717,1,0,1,2,0,0,0,0,0,0,0,0,0,2
1009,2,2,1,1,1,0,1,0,0,1,1,0,1,2
1028,1,0,1,1,0,0,1,1,0,0,1,1,1,0
1414,2,0,0,1,0,0,0,0,0,1,0,0,1,1
178,2,0,0,0,0,0,0,0,0,0,0,0,0,0
913,2,2,2,2,2,0,1,2,0,0,0,2,1,2
699,2,2,1,2,1,0,1,1,0,0,1,0,1,2
87,2,0,0,1,0,0,0,0,0,0,0,0,0,2
1327,2,0,0,2,1,0,1,0,0,2,0,0,1,2
1792,2,1,1,1,1,0,1,1,1,0,1,2,1,1
461,2,1,2,2,1,0,1,1,2,1,1,1,1,2
55,2,0,0,1,2,0,1,0,0,1,1,0,1,1
1420,2,1,1,2,2,0,1,0,1,1,2,1,2,2
222,1,0,0,0,0,0,0,0,0,0,0,0,0,1
114,2,0,1,1,0,0,0,0,0,0,0,0,0,2
867,2,0,0,2,0,0,2,0,0,0,0,0,0,0
1212,2,0,0,2,0,0,0,0,0,2,0,0,2,1
983,2,2,2,2,2,0,2,0,0,2,0,2,0,2
175,2,0,1,0,0,0,0,0,0,0,0,0,0,2
852,2,0,0,2,0,0,0,0,0,0,0,0,2,2
593,2,0,0,2,1,1,1,0,0,1,0,0,0,2
1476,2,2,2,1,2,1,2,2,1,1,1,2,1,2
19,2,1,1,1,1,0,1,0,0,1,1,0,1,0
427,2,1,0,2,1,0,1,0,0,1,1,0,1,2
1263,2,1,0,1,1,0,1,0,0,0,0,0,0,2
286,2,0,0,0,0,0,0,0,0,0,0,0,0,2
1728,2,0,0,0,0,0,0,0,0,0,0,0,0,2
432,2,1,0,1,1,0,1,0,1,0,0,0,1,2
1800,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1725,2,0,0,1,0,0,0,0,0,0,0,0,0,1
32,1,0,1,0,0,0,0,0,0,0,0,0,0,1
831,2,1,0,2,0,0,1,0,0,0,2,0,0,2
1592,2,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1266,2,0,0,0,0,0,0,0,0,0,0,0,0,0
330,2,0,1,1,0,0,0,0,0,0,0,0,0,1
564,2,0,1,1,0,0,0,0,0,0,1,0,1,2
1050,2,0,0,2,0,0,0,0,0,0,0,0,0,2
1509,2,0,1,1,0,0,1,0,0,0,0,0,0,2
1124,1,1,1,1,1,1,1,0,1,1,1,2,1,2
345,2,1,2,2,2,1,1,1,0,1,1,1,1,2
633,2,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2,0,0,0,0,0,0,0,0,0,0,0,0,0
364,1,1,1,1,1,1,1,1,0,0,1,1,1,2
84,1,0,2,1,0,0,0,0,0,0,0,0,0,2
49,2,1,0,2,1,0,0,0,0,0,0,0,1,2
472,2,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1134,2,1,2,2,1,0,1,1,1,2,1,1,1,1
1367,2,0,0,2,0,0,0,0,0,0,0,0,0,2
1416,1,1,0,2,2,0,2,0,1,1,0,0,0,2
1544,2,1,0,2,1,0,1,0,1,2,0,0,1,1
504,2,0,0,2,0,0,0,0,0,0,2,0,1,2
180,2,1,0,1,1,0,1,0,0,0,1,0,1,2
1470,2,0,0,0,0,0,0,0,0,0,0,0,0,0
908,2,1,0,2,1,0,1,0,0,0,1,0,1,1
697,2,1,0,2,1,0,0,0,0,0,1,0,1,1
779,2,2,2,2,1,0,1,0,2,1,2,0,2,2
1535,2,2,1,2,1,0,2,0,1,1,1,2,0,2
532,2,0,0,1,0,0,0,0,0,0,0,0,0,0
350,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1787,2,0,0,2,2,0,2,0,2,2,2,0,1,2
1849,1,2,1,2,1,1,2,2,0,1,0,0,1,2
720,2,1,0,1,1,0,1,0,1,0,1,0,1,1
1062,1,0,0,0,0,0,0,0,0,0,0,0,0,0
894,1,1,0,1,1,0,1,0,0,1,1,0,0,1
605,2,0,1,2,1,0,1,0,1,1,1,0,1,2
957,2,2,1,1,1,1,0,1,0,2,1,0,1,1
244,2,1,1,1,1,1,1,0,0,1,0,0,0,2
792,2,1,1,1,0,0,0,0,2,2,0,2,0,2
1616,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1394,1,0,0,1,1,0,1,0,0,0,0,0,0,2
316,2,0,0,0,0,0,0,0,0,0,0,0,0,1
439,2,1,2,1,1,1,0,1,0,1,0,1,1,2
1791,1,1,1,2,1,0,1,1,0,1,1,1,1,2
826,2,2,2,2,0,0,1,0,0,0,0,2,0,2
311,1,0,0,0,0,0,0,0,0,0,0,0,1,2
434,2,1,0,1,0,0,0,0,0,0,0,0,0,1
664,2,1,1,1,0,0,0,0,0,0,1,0,0,2
374,2,1,0,1,1,0,1,0,1,1,1,0,1,2
570,1,0,0,1,0,0,0,0,0,0,0,0,1,1
1851,1,2,2,1,0,0,0,0,0,2,1,2,0,1
182,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1093,2,0,0,0,0,0,0,0,0,0,0,0,0,0
625,2,0,0,1,0,0,0,0,0,1,0,0,1,1
727,2,0,0,2,0,0,0,0,0,0,0,0,0,2
1127,2,2,2,2,1,0,2,1,0,2,0,1,1,2
841,2,0,0,1,0,0,2,0,2,2,1,0,1,2
1737,2,0,0,0,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1141,2,1,2,2,2,1,2,1,0,1,0,2,1,2
465,2,1,1,1,0,0,1,0,0,1,1,1,1,2
1227,2,2,2,2,2,0,1,0,0,1,0,0,1,2
1113,2,0,2,1,0,0,2,0,0,1,2,0,2,0
381,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1169,2,1,0,2,0,0,0,0,0,2,0,1,1,1
106,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2,1,0,1,0,0,0,0,0,0,0,0,1,0
1068,1,0,0,0,0,0,0,0,0,0,0,0,1,0
975,2,1,0,2,0,0,1,0,0,1,1,0,1,2
359,1,1,1,1,1,0,1,1,1,1,1,0,1,2
1864,2,2,2,2,1,0,1,1,0,0,1,2,1,1
687,2,0,0,1,0,0,0,0,0,0,0,0,0,0
1116,2,0,0,2,0,0,0,0,0,2,1,1,1,2
774,1,1,2,2,1,1,0,1,0,0,1,2,1,2
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,2,0,0,2,0,0,0,0,0,1,0,0,1,1
141,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1355,2,1,2,2,1,0,1,1,0,2,1,0,2,2
1635,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1757,2,1,1,2,1,1,1,0,0,2,1,1,1,2
1491,2,1,1,1,1,0,1,0,0,1,0,0,1,1
1203,2,2,2,2,2,0,2,2,0,2,1,2,2,2
1597,2,0,1,0,0,0,0,0,0,0,0,0,0,1
716,2,1,2,2,1,1,1,1,0,1,1,1,1,2
1574,2,0,0,1,0,0,0,0,0,0,0,0,0,2
1881,2,1,2,2,1,0,1,2,0,1,0,2,0,2
761,2,1,1,1,1,0,1,1,1,2,0,1,1,2
11,2,0,0,1,1,0,0,0,0,0,0,0,0,1
1605,2,0,1,0,0,0,0,0,0,0,0,0,0,1
1687,2,0,0,0,0,0,0,0,0,0,0,0,0,0
283,2,0,0,1,1,0,0,0,0,0,0,0,0,0
292,2,1,0,2,0,0,0,0,0,0,0,0,0,2
630,2,0,0,1,1,0,0,0,0,0,0,0,0,2
1588,2,0,0,0,0,0,0,0,0,0,0,0,0,2
763,2,2,2,2,1,0,2,0,1,2,1,0,1,1
130,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,2,1,2,1,1,0,1,1,1,0,1,1,1,1
327,2,1,0,2,0,0,1,0,0,0,0,0,0,2
1023,2,0,0,1,0,0,0,0,0,0,0,0,0,1
749,1,2,1,2,1,1,1,0,1,0,1,0,1,0
850,2,2,2,2,1,1,1,0,0,0,1,0,2,1
1760,2,0,0,2,0,0,0,0,0,0,0,0,0,1
1341,2,1,2,2,1,0,1,2,0,1,1,1,1,2
1339,2,1,1,2,1,1,1,1,1,2,1,1,1,2
700,2,1,0,2,1,0,1,0,0,1,1,0,1,2
994,2,1,1,2,1,0,1,0,1,1,1,0,1,2
945,1,1,2,1,1,1,1,1,0,0,1,1,1,2
159,1,0,0,0,0,0,0,0,0,0,0,0,0,0
873,2,2,2,2,2,0,2,0,0,2,0,2,0,2
638,2,0,0,1,0,0,0,0,0,0,0,0,0,0
520,1,1,2,2,1,0,1,1,0,0,1,1,0,2
1346,2,0,0,2,1,0,0,0,1,2,0,0,0,2
601,2,0,0,1,1,0,0,0,0,0,0,0,0,0
196,2,1,1,1,0,0,0,0,0,0,0,0,0,2
1557,2,0,1,1,0,0,0,0,0,0,0,0,0,2
772,0,0,0,0,0,0,0,0,0,0,0,0,0,2
414,2,0,0,1,1,0,1,0,0,0,0,0,0,1
97,2,1,0,1,1,0,0,0,0,0,1,0,1,1
1549,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1016,1,2,2,2,1,1,2,1,0,2,1,2,1,2
157,2,1,1,1,1,0,0,0,0,0,0,0,0,2
423,2,1,0,1,0,0,0,0,0,0,0,0,0,2
1531,1,0,1,2,0,0,0,0,0,1,2,0,2,1
481,2,0,1,1,0,0,0,0,0,0,0,0,0,1
923,2,2,1,2,1,0,2,0,1,2,2,1,2,2
672,1,1,0,2,1,0,1,0,0,0,1,0,1,2
1196,2,1,2,0,0,0,0,0,0,0,0,0,0,1
973,2,2,0,2,1,0,2,0,1,2,2,0,2,2
1285,2,0,0,2,2,0,2,0,0,1,0,2,0,2
451,2,1,1,2,1,1,1,0,1,1,0,0,1,2
1610,2,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2,1,0,1,0,0,0,0,0,0,0,0,1,2
394,2,0,0,0,0,0,0,0,0,0,0,0,0,0
582,2,1,1,1,1,0,1,0,0,0,1,0,1,1
1499,2,2,1,2,1,1,0,0,0,0,1,0,1,2
1617,2,0,0,0,0,0,0,0,0,1,0,0,1,1
1360,2,2,2,1,1,1,1,2,2,2,1,1,1,1
1558,2,0,0,1,0,0,0,0,0,0,0,0,0,0
1335,2,0,0,2,0,0,0,0,0,1,0,0,1,2
917,2,2,2,2,1,1,1,0,0,1,0,2,1,2
869,2,1,0,2,0,0,2,0,0,1,0,0,0,2
956,2,2,2,2,2,1,1,2,0,1,0,2,1,2
668,2,1,2,2,2,2,1,2,1,1,1,2,1,2
143,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1435,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1347,2,0,1,2,1,1,0,0,0,0,2,0,2,2
425,2,0,0,0,0,0,0,0,0,0,0,0,0,1
640,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1855,1,1,0,1,1,1,1,0,0,2,1,1,0,2
1482,2,1,1,2,1,0,1,1,0,0,1,0,1,0
619,1,1,1,2,0,0,0,1,0,2,1,0,1,2
296,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1510,2,1,2,2,1,1,1,0,0,1,1,0,1,1
1795,0,0,0,2,0,0,0,0,0,0,2,0,0,2
89,1,0,1,1,0,0,0,0,0,0,0,0,1,1
42,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1868,2,1,1,2,1,1,2,1,1,2,2,0,2,2
1824,2,1,1,1,0,0,1,0,0,1,1,1,1,1
132,2,0,1,0,0,0,0,0,0,0,0,0,0,2
1514,1,0,1,2,1,1,1,0,0,1,1,1,1,2
1007,1,0,0,0,0,0,0,0,0,2,0,0,0,0
995,2,2,1,2,1,1,1,1,0,2,1,1,1,2
1750,2,2,2,1,1,0,1,0,0,0,1,2,1,2
1417,2,2,0,2,0,0,0,0,0,0,0,0,0,1
165,1,1,0,1,0,0,0,0,0,0,0,0,0,1
729,2,0,0,1,0,0,1,0,0,0,2,0,2,0
291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1714,2,1,0,2,1,0,1,0,0,0,0,0,1,2
1789,2,1,0,1,1,0,1,0,0,0,1,0,1,0
901,2,0,0,2,0,0,0,0,0,0,0,0,0,2
785,2,2,2,1,1,0,1,0,0,0,1,0,0,1
352,2,1,2,1,1,1,1,1,1,0,1,1,1,2
575,2,0,1,2,0,0,0,0,0,0,0,0,0,0
1437,2,0,0,1,0,0,0,0,0,0,0,0,0,2
1779,2,0,0,1,0,0,0,0,0,0,1,0,2,1
1410,2,1,0,2,1,0,1,0,0,0,0,0,1,0
1508,2,0,2,0,1,0,0,0,0,1,0,0,0,2
1239,2,1,1,2,1,1,1,0,0,2,1,0,1,2
906,2,0,0,1,0,0,0,0,0,2,0,1,0,1
462,2,0,0,1,0,0,1,0,0,1,0,0,1,0
379,2,0,0,1,0,0,0,0,0,0,0,0,0,0
337,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1758,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1663,2,1,1,2,2,1,2,0,1,1,0,0,1,2
1376,1,0,0,2,0,0,2,0,0,1,0,0,0,1
823,2,0,0,0,0,0,0,0,0,0,0,2,0,0
1274,2,0,1,0,0,0,0,0,0,0,0,1,0,0
889,2,1,2,2,2,0,2,0,2,2,2,0,2,0
1752,2,2,2,2,0,0,0,0,0,1,0,0,0,1
1088,2,1,1,1,1,0,1,0,1,0,1,0,1,1
1820,2,1,1,2,1,0,2,0,0,1,2,1,1,2
1063,2,0,1,2,0,0,0,0,0,0,2,0,2,0
332,2,1,1,1,2,1,1,0,1,0,1,0,1,2
934,1,1,2,1,1,1,1,2,0,2,1,2,1,2
322,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1448,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1835,2,0,0,2,1,1,1,0,0,1,1,1,1,1
1639,2,0,1,0,0,0,0,0,0,0,0,0,0,0
168,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,1,2,1,1,0,0,0,0,0,1,1,1,2
172,2,0,0,1,0,0,0,0,0,0,0,0,1,1
653,2,2,2,2,1,0,1,0,2,2,2,1,2,2
261,2,0,0,1,0,0,0,0,0,0,1,0,0,0
1645,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1328,2,0,0,2,0,0,0,0,0,1,0,0,0,2
677,1,0,0,2,0,0,0,0,0,2,0,0,0,2
259,2,0,2,0,0,0,0,0,0,0,0,0,0,0
851,2,0,0,2,1,0,0,0,0,1,1,0,1,0
1680,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2,0,2,1,0,0,0,0,0,0,0,1,0,2
1735,2,0,0,0,0,0,0,0,0,0,0,0,0,1
553,2,1,0,2,1,0,1,0,1,1,1,0,1,1
1747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,2,0,0,2,0,0,2,0,0,2,1,0,1,2
1245,2,1,0,1,0,0,1,0,0,0,0,0,1,2
1643,2,0,0,0,0,0,0,0,0,0,0,0,0,0
562,2,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2,0,0,1,0,0,0,0,0,0,0,0,0,2
1641,2,0,1,0,0,0,0,0,0,0,0,0,0,0
535,2,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2,0,0,0,0,0,0,0,0,0,0,0,0,0
728,2,0,0,0,0,0,0,0,0,0,0,0,0,1
793,2,2,1,2,1,1,1,1,2,2,2,1,1,1
1627,2,0,0,1,0,0,0,0,0,0,0,0,0,1
974,2,0,1,2,2,0,2,0,1,0,1,1,1,2
413,1,0,1,1,1,1,1,0,0,0,1,0,1,1
329,2,0,1,1,0,0,0,0,0,0,0,0,0,2
1037,2,0,1,2,1,0,2,1,1,1,2,1,2,2
302,1,0,0,0,0,0,0,0,0,0,0,0,0,2
1190,2,1,1,2,1,1,1,1,1,2,1,0,1,2
1077,1,0,0,2,0,0,0,0,0,2,0,0,2,0
1465,2,1,0,0,1,0,1,0,1,0,0,0,0,0
1754,2,1,1,1,1,0,1,0,0,0,0,1,0,1
719,2,1,0,2,0,0,0,0,0,0,0,0,0,2
1262,2,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2,0,0,1,0,0,0,0,0,0,0,0,1,0
444,2,0,0,1,0,0,0,0,0,0,0,0,0,2
577,2,0,0,0,0,0,0,0,0,0,0,0,1,2
507,1,1,1,1,1,0,1,0,0,0,1,0,1,2
609,1,1,0,1,1,1,0,1,0,0,1,0,1,2
1372,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1100,1,1,2,2,1,1,1,1,1,1,1,2,1,2
1689,2,0,0,2,0,0,0,0,0,1,2,0,1,0
853,0,1,0,2,0,0,1,0,0,1,1,1,2,0
